"state","state_abbrev","organization","comm_name","sci_name","season","year","month","date","zone","block_id","site","lat_dd","long_dd","survey_id","domoic_id","domoic_tissue","domoic_ppm","domoic_mod","notes"
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",415,"Salt Point",38.5747767999443,-123.426837206481,"1900-01-11-CA-E-Salt Point","083112816A","viscera",12,"",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",415,"Salt Point",38.5747767999443,-123.426837206481,"1900-01-11-CA-E-Salt Point","083112816B","viscera",2.5,"<",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",415,"Salt Point",38.5747767999443,-123.426837206481,"1900-01-11-CA-E-Salt Point","083112816C","viscera",2.5,"<",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",415,"Salt Point",38.5747767999443,-123.426837206481,"1900-01-11-CA-E-Salt Point","083112816D","viscera",2.5,"<",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",415,"Salt Point",38.5747767999443,-123.426837206481,"1900-01-11-CA-E-Salt Point","083112816E","viscera",26,"",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",415,"Salt Point",38.5747767999443,-123.426837206481,"1900-01-11-CA-E-Salt Point","083112816F","viscera",2.5,"<",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",431,"Bodega Head",38.2458350807382,-123.087524649426,"1900-01-11-CA-E-Bodega Head","083112816G","viscera",2.5,"<",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",431,"Bodega Head",38.2458350807382,-123.087524649426,"1900-01-11-CA-E-Bodega Head","083112816H","viscera",2.5,"<",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",431,"Bodega Head",38.2458350807382,-123.087524649426,"1900-01-11-CA-E-Bodega Head","083112816I","viscera",2.5,"<",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",431,"Bodega Head",38.2458350807382,-123.087524649426,"1900-01-11-CA-E-Bodega Head","083112816J","viscera",11,"",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",431,"Bodega Head",38.2458350807382,-123.087524649426,"1900-01-11-CA-E-Bodega Head","083112816K","viscera",2.5,"<",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",1899,1900,1,1900-01-11,"E",431,"Bodega Head",38.2458350807382,-123.087524649426,"1900-01-11-CA-E-Bodega Head","083112816L","viscera",10,"",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",2000,2000,11,2000-11-17,"B",213,"Humboldt County, OFFSHORE",40.785,-124.674,"2000-11-17-CA-B-Humboldt County, OFFSHORE","00-9027-01","viscera",10,NA,NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",2000,2000,11,2000-11-17,"B",213,"Humboldt County, OFFSHORE",40.785,-124.674,"2000-11-17-CA-B-Humboldt County, OFFSHORE","00-9027-02","viscera",9.2,NA,NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",2000,2000,11,2000-11-17,"B",213,"Humboldt County, OFFSHORE",40.785,-124.674,"2000-11-17-CA-B-Humboldt County, OFFSHORE","00-9027-03","viscera",2.6,NA,NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",2000,2000,11,2000-11-17,"B",213,"Humboldt County, OFFSHORE",40.785,-124.674,"2000-11-17-CA-B-Humboldt County, OFFSHORE","00-9027-04","viscera",10,NA,NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",2000,2000,11,2000-11-17,"B",213,"Humboldt County, OFFSHORE",40.785,-124.674,"2000-11-17-CA-B-Humboldt County, OFFSHORE","00-9028-01","viscera",2.5,NA,NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",2000,2000,11,2000-11-17,"B",213,"Humboldt County, OFFSHORE",40.785,-124.674,"2000-11-17-CA-B-Humboldt County, OFFSHORE","00-9028-02","viscera",1,"<",NA
"California","CA","CDFW","Dungeness crab","Metacarcinus magister",2000,2000,11,2000-11-17,"B",213,"Humboldt County, OFFSHORE",40.785,-124.674,"2000-11-17-CA-B-Humboldt County, OFFSHORE","00-9028-03","viscera",1.1,NA,NA
