"state","state_abbrev","organization","season","year","month","date","zone","block_id","site","lat_dd","long_dd","survey_id","event_id","n","nover","pover","domoic_ppm_max","domoic_ppm_avg","domoic_ppm_med","nsurveys","event_use","event_id_use","event_day0","event_day"
"California","CA","CDFW",1899,1900,1,1900-01-11,"E",415,"Salt Point",38.5747767999443,-123.426837206481,"1900-01-11-CA-E-Salt Point","1899-CA-415",6,0,0,26,8,2.5,1,"no",NA,1900-01-11,0
"California","CA","CDFW",1899,1900,1,1900-01-11,"E",431,"Bodega Head",38.2458350807382,-123.087524649426,"1900-01-11-CA-E-Bodega Head","1899-CA-431",6,0,0,11,5.16666666666667,2.5,1,"no",NA,1900-01-11,0
"California","CA","CDFW",2000,2000,11,2000-11-17,"B",213,"Humboldt County, OFFSHORE",40.785,-124.674,"2000-11-17-CA-B-Humboldt County, OFFSHORE","2000-CA-213",20,0,0,18,7.535,6.5,1,"no",NA,2000-11-17,0
"California","CA","CDFW",2010,2010,11,2010-11-08,"E",431,"Block 431, Bodega",38.234676,-123.104345,"2010-11-08-CA-E-Block 431, Bodega","2010-CA-431",6,0,0,19,6.05,3.75,1,"no",NA,2010-11-08,0
"California","CA","CDFW",2010,2010,11,2010-11-08,"E",439,"Block 439, Pt Reyes",38.066212,-123.096634,"2010-11-08-CA-E-Block 439, Pt Reyes","2010-CA-439",5,0,0,4.1,2.82,2.5,1,"no",NA,2010-11-08,0
"California","CA","CDFW",2010,2010,11,2010-11-08,"F",447,"Block 447, Bolinas",37.873883,-122.764208,"2010-11-08-CA-F-Block 447, Bolinas","2010-CA-447",12,0,0,20,7.08333333333333,2.9,1,"no",NA,2010-11-08,0
"California","CA","CDFW",2010,2010,11,2010-11-08,"F",448,"Block 448, Drakes",37.903641,-122.924816,"2010-11-08-CA-F-Block 448, Drakes","2010-CA-448",7,0,0,2.5,2.5,2.5,1,"no",NA,2010-11-08,0
"California","CA","CDFW",2010,2010,11,2010-11-08,"F",449,"Block 449, Chimney",37.898869,-123.094453,"2010-11-08-CA-F-Block 449, Chimney","2010-CA-449",7,0,0,13,6.2,5.2,1,"no",NA,2010-11-08,0
"California","CA","CDFW",2010,2010,11,2010-11-09,"F",455,"Block 455, Off SF",37.737726,-122.587791,"2010-11-09-CA-F-Block 455, Off SF","2010-CA-455",6,0,0,23,6.81666666666667,3.6,1,"no",NA,2010-11-09,0
"California","CA","CDFW",2010,2010,11,2010-11-09,"F",456,"Block 456, Off SF",37.738894,-122.753228,"2010-11-09-CA-F-Block 456, Off SF","2010-CA-456",6,0,0,2.5,2.5,2.5,1,"no",NA,2010-11-09,0
"California","CA","CDFW",2010,2010,11,2010-11-09,"F",457,"Block 457, Off SF",37.740601,-122.941565,"2010-11-09-CA-F-Block 457, Off SF","2010-CA-457",6,0,0,16,5.03333333333333,2.5,1,"no",NA,2010-11-09,0
