"species","total","california","oregon","washington"
"Dungeness crab (Metacarcinus magister)",9054,3301,3138,2615
"California mussel (Mytilus californianus)",8985,3347,3213,2425
"Razor clam (Siliqua patula)",8415,849,1844,5722
"Pacific oyster (Crassostrea gigas)",1686,1615,9,62
"Mediterranean (bay) mussel (Mytilus galloprovincialis)",1542,1542,0,0
"Rock crab (Cancer spp.)",1478,1478,0,0
"California spiny lobster (Panulirus interruptus)",413,413,0,0
"Blue mussel (Mytilus trossulus)",343,0,0,343
"Mussel (Mytilus spp.)",329,50,279,0
"Red rock crab (Cancer productus)",245,245,0,0
"Pacific sardine (Sardinops sagax)",151,151,0,0
"Northern anchovy (Engraulis mordax)",136,136,0,0
"Rock scallop (Crassadoma gigantea)",98,98,0,0
"Pismo clam (Tivela stultorum)",77,77,0,0
"Brown rock crab (Romaleon antennarius)",76,76,0,0
"Purple varnish clam (Nuttallia obscurata)",47,0,47,0
"Eastern softshell clam (Mya arenaria)",40,0,40,0
"Littleneck clam (Leukoma staminea)",35,24,1,10
"Yellow rock crab (Metacarcinus anthonyii)",32,32,0,0
"Gaper (horse) clam (Tresus capax/nuttallii)",28,14,8,6
"Sheep (spider) crab (Loxorhynchus grandis)",27,27,0,0
"Pelagic red crab (Pleuroncodes planipes)",26,26,0,0
"Basket cockle (Clinocardium nuttallii)",22,2,20,0
"Manila clam (Ruditapes philippinarum)",19,1,0,18
"Stone crab",18,18,0,0
"Washington clam (Saxidomus nuttalli)",12,12,0,0
"Bay clam",11,0,11,0
"Salmon (Oncorhynchus spp.)",9,9,0,0
"Barred surfperch (Amphistichus argenteus)",8,8,0,0
"Mackerel (Scombridae spp.)",8,8,0,0
"Red abalone (Haliotis rufescens)",8,8,0,0
"Black surfperch (Embiotoca jacksoni)",6,6,0,0
"Brown box crab (Lopholithodes foraminatus)",6,6,0,0
"Butter clam (Saxidomus gigantea)",5,1,3,1
"Scarlet king crab (Lithodes couesi)",5,5,0,0
"Unknown",5,0,1,4
"Pile surfperch (Rhacochilus vacca)",4,4,0,0
"Barnacle",3,0,0,3
"Pacific lamprey (Entosphenus tridentatus)",3,3,0,0
"Clam",2,2,0,0
"Gooseneck barnacle (Pollicipes polymerus)",2,2,0,0
"Grunion (Leuresthes spp.)",2,2,0,0
"Kumamoto oyster (Crassostrea sikamea)",2,2,0,0
"Sea otter (Enhydra lutris)",2,2,0,0
"Shiner surfperch (Cymatogaster aggregata)",2,2,0,0
"Thornback ray (Raja clavata)",2,2,0,0
"Bay mussel (Mytilus edulis)",1,0,1,0
"California market squid (Doryteuthis opalescens)",1,1,0,0
"California yellowtail (Seriola lalandi)",1,1,0,0
"Mussel (tsunami debris)",1,0,1,0
"Oyster",1,0,1,0
"Swimming crab (Portunus xantusii)",1,1,0,0
